pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
"HR 8799 d",13.00000000,3000.00000000,37000.00000000000,,,
"GJ 1214 b",2.27000000,6.43000000,1.58040482000,,,0.210000
"GJ 1214 b",2.67800000,6.55000000,1.58039250000,555.00,3026.00,0.211000
"HR 8799 b",13.00000000,2000.00000000,170000.00000000000,,,
"GJ 1214 b",2.84708600,6.26125100,1.58040456000,,3026.00,0.216000
"HD 3167 b",1.70000000,5.02000000,0.95964100000,,5261.00,0.860000
"HD 3167 c",3.01000000,9.80000000,29.84540000000,,5261.00,0.860000
"HD 3167 b",1.62600000,5.59000000,0.96000000000,,5261.00,0.880000
"NGTS-10 b",13.50684500,687.14846000,0.76689440000,1332.00,4600.00,0.697000
"HD 3167 b",1.57400000,5.69000000,0.95963200000,1759.00,5286.00,0.835000
"HD 3167 c",2.74000000,8.33000000,29.84622000000,548.00,5286.00,0.835000
"COCONUTS-2 b",12.44196858,2002.31896410,402000000.00000000000,434.00,3406.00,0.388000
"HR 8799 c",13.00000000,3000.00000000,69000.00000000000,,,
"HD 3167 b",1.62700000,4.73000000,0.95965428000,1777.00,5300.00,0.871000
"HD 3167 c",2.92300000,10.67000000,29.84649480000,565.00,5300.00,0.871000
"HD 3167 b",1.67000000,4.97000000,0.95964100000,1774.00,5261.00,0.880000
"KOI-1257 b",10.54000000,460.83000000,86.64766100000,511.00,5520.00,1.130000
"HD 63454 b",12.31000000,126.00000000,2.81804900000,,4840.00,1.050000
"Kepler-85 c",2.14000000,20.90000000,12.51300000000,,,0.872000
"Kepler-32 b",2.25000000,9.40000000,5.90100000000,,,0.529000
"K2-24 c",7.50000000,15.40000000,42.33910000000,,5625.00,1.160000
"Kepler-31 d",3.90000000,2161.24400000,87.64510000000,,6340.00,1.220000
"Kepler-109 c",2.65000000,8.20000000,21.22265000000,859.00,5950.00,1.387000
"EPIC 220674823 b",1.87000000,8.03000000,0.57128200000,2115.00,5496.00,0.995000
"Kepler-29 c",3.14000000,4.00000000,13.28840000000,,5701.00,0.932000
"CoRoT-23 b",11.77000000,889.90000000,3.63130000000,1660.00,5900.00,1.610000
"Kepler-197 c",1.23000000,5.30000000,10.35000000000,,,1.120000
"Kepler-391 b",2.50000000,1100.00000000,7.41750000000,930.00,5038.00,2.879000
"CoRoT-28 b",10.70459500,153.82972000,5.20851000000,,5150.00,1.780000
"Kepler-326 b",3.03000000,44.60000000,2.24800000000,,,1.593000
"Kepler-9 b",8.85000000,2175.00000000,19.23800000000,,,0.956000
"WASP-103 b",17.12735200,462.44265000,0.92554560000,,6110.00,1.436000
"WASP-103 b",17.12735200,473.56670000,0.92554200000,,6110.00,1.436000
"KOI-3503 c",1.21000000,10.36000000,31.82800000000,686.00,6001.00,1.255000
"CoRoT-7 b",1.68000000,21.00000000,0.85358500000,,5275.00,0.870000
"Kepler-223 d",5.24000000,8.00000000,14.78869000000,,,1.720000
"Kepler-176 c",2.56000000,23.00000000,12.75900000000,,,0.877000
"NGTS-34 b",3.65000000,19.10000000,43.12655000000,624.00,6134.00,1.367000
"Kepler-82 b",3.95000000,51.00000000,26.44400000000,,,0.928000
"HAT-P-6 b",14.90797000,351.51998000,3.85300300000,,6570.00,1.460000
"WASP-95 b",13.56289000,382.66732000,2.18467300000,,5830.00,1.130000
"TOI-7041 b",11.43316031,114.41822652,9.69100000000,,4700.00,4.100000
"TOI-1728 b",5.05000000,26.78000000,3.49151000000,767.00,3980.00,0.624300
"WASP-66 b",15.58051000,753.25710000,4.08605200000,,6600.00,1.750000
"HD 15337 c",2.39000000,8.11000000,17.17840000000,642.00,5125.00,0.856000
"TOI-251 b",2.74000000,317.83000000,4.93777000000,,5875.00,0.881000
"WASP-95 b",13.78707000,457.67520000,2.18467000000,,5830.00,1.230000
"GJ 486 b",1.28900000,2.77000000,1.46712127000,696.30,3317.00,0.324300
"Kepler-100 d",1.61000000,3.00000000,35.33310000000,,5825.00,1.490000
"KELT-6 b",14.57170000,165.27160000,7.84570000000,,6102.00,1.730000
"WASP-11 b",11.26500000,154.77700000,3.72247470000,,4980.00,0.790000
"K2-113 b",10.42437000,410.00070000,5.81760800000,1178.00,5627.00,1.047000
"WASP-15 b",15.45721100,175.12433000,3.75210000000,,6300.00,1.440000
"WASP-14 b",15.46842000,2809.61720000,2.24375000000,,6475.00,1.400000
"HATS-58 A b",12.27385500,327.36490000,4.21808960000,1721.00,7175.00,1.433000
"WASP-139 b",8.96720000,37.18611000,5.92426200000,910.00,5310.00,0.800000
"TOI-1246 e",3.51418750,14.50000000,37.92548000000,463.98,5213.00,0.864900
"TOI-7510 c",10.90633822,128.18019654,22.56440000000,696.00,5820.00,1.020000
"TOI-2714 b",13.72000000,228.00000000,2.49938700000,1603.00,5665.00,1.250000
"TOI-6894 b",9.58367850,53.39517238,3.37077196000,417.90,3007.00,0.227600
"K2-3 b",2.07800000,5.11000000,10.05465350000,501.30,3844.00,0.546000
"TOI-2641 b",18.10250383,122.68176510,4.88097400000,1387.00,6100.00,1.336000
"WASP-136 b",15.46842000,479.92330000,5.21535700000,1742.00,6260.00,2.210000
"WASP-100 b",14.90797000,400.46580000,2.84938000000,,6900.00,1.570000
"HD 209458 b",15.24424000,219.30270000,3.52000000000,1450.00,6052.00,1.186550
"Kepler-6 b",13.10332100,205.63601000,3.23469940000,,5647.00,1.261000
"L 98-59 b",0.85000000,0.40000000,2.25311360000,627.00,3415.00,0.303000
"TOI-1448 b",2.74900000,19.50000000,8.11224500000,426.00,3412.00,0.380000
"HD 63433 c",2.69200000,15.53900000,20.54382810000,678.92,5553.00,0.934000
"TOI-7149 b",13.20000000,224.00000000,2.65206166000,593.00,3363.00,0.351000
"HATS-67 b",18.88716500,460.85350000,1.60917880000,2193.00,6594.00,1.441000
"XO-3 b",15.80469000,2316.98070000,3.19154000000,,6429.00,1.540000
"HAT-P-35 b",14.93038800,335.62848000,3.64670600000,,6096.00,1.435000
"HD 114082 b",11.20898070,2542.62725600,109.75000000000,,6651.00,1.490000
"TOI-6008 b",1.03000000,4.00000000,0.85743470000,707.00,3075.00,0.242000
"WASP-58 b",15.35633000,285.72917000,5.01718000000,,5800.00,1.170000
"WASP-131 b",13.67498000,85.81410000,5.32202300000,1460.00,6030.00,1.530000
"55 Cnc e",1.91000000,8.08000000,0.73653900000,,5250.00,0.963515
"Kepler-25 b",2.74800000,8.70000000,6.23829700000,,,1.316000
"HIP 9618 c",3.34300000,18.30000000,52.56349100000,486.90,5609.00,0.966200
"TIC 237913194 b",12.52045300,617.22586000,15.16886500000,974.00,5788.00,1.088000
"Kepler-102 f",0.88000000,5.20000000,27.45360000000,,4903.00,0.740000
"WASP-20 b",16.38800000,98.84100000,4.89962840000,1379.00,5940.00,1.392000
"GJ 3929 b",1.15000000,1.21000000,2.61627450000,568.80,3369.00,0.315000
"K2-199 b",1.73000000,6.90000000,3.22539930000,913.00,4491.00,0.682000
"K2-34 b",16.14096000,563.51259000,2.99565400000,,6087.00,1.660000
"K2-182 b",2.71257333,20.97667486,4.73696960000,965.80,5128.00,0.789000
"WASP-35 b",14.79600000,228.82800000,3.16157500000,,5990.00,1.090000
"K2-19 b",7.00000000,32.40000000,7.92220000000,779.00,5322.00,0.820000
"K2-114 b",10.55887800,587.98550000,11.39109000000,719.00,5027.00,0.828000
"Kepler-423 b",13.36112800,192.60498000,2.68432850000,,5560.00,0.950000
"HD 15337 c",2.52600000,6.79200000,17.18054600000,,5131.00,0.855000
"TOI-1268 b",9.10000000,96.40000000,8.15770940000,918.90,5300.00,0.920000
"TOI-1246 d",3.43139739,5.40000000,18.65487400000,587.77,5213.00,0.864900
"WASP-18 b",13.05900000,3314.83000000,0.94145299000,,6400.00,
"HD 17156 b",12.18418300,1028.18005000,21.21639800000,,6079.00,1.500700
"WASP-46 b",13.15936600,603.87700000,1.43037000000,,5600.00,0.858000
"HATS-9 b",11.93758500,266.02371000,1.91530730000,1823.00,5366.00,1.503000
"HATS-11 b",16.92559000,270.15550000,3.61916130000,1637.00,6060.00,1.444000
"WASP-26 b",14.35900000,326.71500000,2.75660040000,,5939.00,1.303000
"WASP-47 b",12.64000000,363.60000000,4.15914920000,,5552.00,1.137000
"Kepler-68 b",2.35700000,8.03000000,5.39875259000,1275.00,5847.00,1.256400
"TOI-260 b",1.47291596,3.30000000,13.47581500000,438.59,4050.00,0.546800
"PDS 70 b",14.57170000,2542.64000000,43500.00000000000,1200.00,3972.00,1.260000
"TOI-1266 b",2.45800000,15.90000000,10.89487900000,410.00,3573.00,0.423200
"HAT-P-30 b",15.02006000,237.10118000,2.81059500000,,6304.00,1.215000
"TOI-6695 b",9.52763359,66.74396547,80.38900000000,599.00,6400.00,1.517000
"Gliese 12 b",0.90000000,10.00000000,12.76142000000,315.00,3253.00,0.269000
"HAT-P-3 b",10.21139900,189.10885000,2.89973838000,1170.00,5190.00,0.850000
"TOI-178 c",1.66900000,4.77000000,3.23845000000,873.00,4316.00,0.651000
"WASP-28 b",13.66374747,282.54945382,3.40883495000,1456.00,,1.083000
"TOI-2525 c",10.13291855,208.81326340,49.25190000000,,5096.00,0.785000
"WASP-89 b",11.65736000,1875.19700000,3.35642270000,1120.00,5130.00,0.880000
"HIP 9618 c",3.42855926,7.00000000,52.56363000000,470.31,5649.00,0.959300
"HAT-P-18 b",11.15300000,62.61000000,5.50802300000,852.00,4803.00,0.749000
"HATS-23 b",20.84874000,467.21010000,2.16051560000,1654.00,5780.00,1.199000
"HATS-36 b",13.84311500,1022.14128000,4.17523870000,1356.00,6149.00,1.155000
"Kepler-289 b",2.15000000,7.30000000,34.54500000000,,5990.00,1.000000
"HD 97658 b",2.24700000,7.55000000,9.49030000000,757.00,5170.00,0.741000
"WASP-94 A b",19.28000000,143.65300000,3.95019070000,1604.00,6153.00,1.620000
"TOI-4010 b",3.02000000,11.00000000,1.34833500000,1441.00,4960.00,0.830000
"HD 28109 d",3.25000000,5.68100000,84.25999000000,506.50,6120.00,1.446000
"GJ 3470 b",4.20000000,14.00000000,3.33714000000,615.00,3600.00,0.503000
